mapping_id,ops_id,service_sample_id,textile_sample_node_id,record_kind,operations_status,physical_sample_received,capture_allowed,source_package,notes
sample-id-mapping:ops-tx-001,OPS-TX-001,sample:ops-tx-001,textile-sample:ops-tx-001,operations_candidate,prepared_not_sent,false,false,phyllos-operacoes-coleta-amostras-v1.1.1,Deterministic bridge only; not a physical sample and not Evidence.
sample-id-mapping:ops-tx-002,OPS-TX-002,sample:ops-tx-002,textile-sample:ops-tx-002,operations_candidate,prepared_not_sent,false,false,phyllos-operacoes-coleta-amostras-v1.1.1,Deterministic bridge only; not a physical sample and not Evidence.
sample-id-mapping:ops-tx-003,OPS-TX-003,sample:ops-tx-003,textile-sample:ops-tx-003,operations_candidate,prepared_not_sent,false,false,phyllos-operacoes-coleta-amostras-v1.1.1,Deterministic bridge only; not a physical sample and not Evidence.
sample-id-mapping:ops-tx-004,OPS-TX-004,sample:ops-tx-004,textile-sample:ops-tx-004,operations_candidate,prepared_not_sent,false,false,phyllos-operacoes-coleta-amostras-v1.1.1,Deterministic bridge only; not a physical sample and not Evidence.
sample-id-mapping:ops-tx-005,OPS-TX-005,sample:ops-tx-005,textile-sample:ops-tx-005,operations_candidate,prepared_not_sent,false,false,phyllos-operacoes-coleta-amostras-v1.1.1,Deterministic bridge only; not a physical sample and not Evidence.
sample-id-mapping:ops-tx-006,OPS-TX-006,sample:ops-tx-006,textile-sample:ops-tx-006,operations_candidate,prepared_not_sent,false,false,phyllos-operacoes-coleta-amostras-v1.1.1,Deterministic bridge only; not a physical sample and not Evidence.
sample-id-mapping:ops-tx-007,OPS-TX-007,sample:ops-tx-007,textile-sample:ops-tx-007,operations_candidate,prepared_not_sent,false,false,phyllos-operacoes-coleta-amostras-v1.1.1,Deterministic bridge only; not a physical sample and not Evidence.
sample-id-mapping:ops-tx-008,OPS-TX-008,sample:ops-tx-008,textile-sample:ops-tx-008,operations_candidate,prepared_not_sent,false,false,phyllos-operacoes-coleta-amostras-v1.1.1,Deterministic bridge only; not a physical sample and not Evidence.
sample-id-mapping:ops-tx-009,OPS-TX-009,sample:ops-tx-009,textile-sample:ops-tx-009,operations_candidate,prepared_not_sent,false,false,phyllos-operacoes-coleta-amostras-v1.1.1,Deterministic bridge only; not a physical sample and not Evidence.
sample-id-mapping:ops-tx-010,OPS-TX-010,sample:ops-tx-010,textile-sample:ops-tx-010,operations_candidate,prepared_not_sent,false,false,phyllos-operacoes-coleta-amostras-v1.1.1,Deterministic bridge only; not a physical sample and not Evidence.
sample-id-mapping:ops-tx-011,OPS-TX-011,sample:ops-tx-011,textile-sample:ops-tx-011,operations_candidate,prepared_not_sent,false,false,phyllos-operacoes-coleta-amostras-v1.1.1,Deterministic bridge only; not a physical sample and not Evidence.
sample-id-mapping:ops-tx-012,OPS-TX-012,sample:ops-tx-012,textile-sample:ops-tx-012,operations_candidate,prepared_not_sent,false,false,phyllos-operacoes-coleta-amostras-v1.1.1,Deterministic bridge only; not a physical sample and not Evidence.
sample-id-mapping:ops-tx-013,OPS-TX-013,sample:ops-tx-013,textile-sample:ops-tx-013,operations_candidate,prepared_not_sent,false,false,phyllos-operacoes-coleta-amostras-v1.1.1,Deterministic bridge only; not a physical sample and not Evidence.
sample-id-mapping:ops-tx-014,OPS-TX-014,sample:ops-tx-014,textile-sample:ops-tx-014,operations_candidate,prepared_not_sent,false,false,phyllos-operacoes-coleta-amostras-v1.1.1,Deterministic bridge only; not a physical sample and not Evidence.
sample-id-mapping:ops-tx-015,OPS-TX-015,sample:ops-tx-015,textile-sample:ops-tx-015,operations_candidate,prepared_not_sent,false,false,phyllos-operacoes-coleta-amostras-v1.1.1,Deterministic bridge only; not a physical sample and not Evidence.
sample-id-mapping:ops-tx-016,OPS-TX-016,sample:ops-tx-016,textile-sample:ops-tx-016,operations_candidate,prepared_not_sent,false,false,phyllos-operacoes-coleta-amostras-v1.1.1,Deterministic bridge only; not a physical sample and not Evidence.
sample-id-mapping:ops-tx-017,OPS-TX-017,sample:ops-tx-017,textile-sample:ops-tx-017,operations_candidate,prepared_not_sent,false,false,phyllos-operacoes-coleta-amostras-v1.1.1,Deterministic bridge only; not a physical sample and not Evidence.
sample-id-mapping:ops-tx-018,OPS-TX-018,sample:ops-tx-018,textile-sample:ops-tx-018,operations_candidate,prepared_not_sent,false,false,phyllos-operacoes-coleta-amostras-v1.1.1,Deterministic bridge only; not a physical sample and not Evidence.
sample-id-mapping:ops-tx-019,OPS-TX-019,sample:ops-tx-019,textile-sample:ops-tx-019,operations_candidate,prepared_not_sent,false,false,phyllos-operacoes-coleta-amostras-v1.1.1,Deterministic bridge only; not a physical sample and not Evidence.
